================================================================================
[inspect] 2026-08-25T15-26-00Z exit=respond iters=7
================================================================================
Query: Read METHOD.md at the repository root and return the complete current method, especially the claim-surface closure, priority order, finding format, coverage threshold, and final deliverable rules.

--- iter 1 ---
ACTION:
{
  "thought": "I\u2019ll read the repository-root METHOD.md to extract the complete current method and cite its line ranges.",
  "tool": "read"
}
OBSERVATION:
ERROR: read requires a `file` argument

--- iter 2 ---
ACTION:
{
  "thought": "I\u2019ll read the repository-root METHOD.md to extract the complete current method and cite its line ranges.",
  "tool": "read",
  "file": "METHOD.md"
}
OBSERVATION:
OK: 1|# AI-Readiness Audit — method
355|| **Material** | Deltas that significantly change valuation or risk profile. The buyer must price this in explicitly or walk. |
356|| **Walk** | Claims are systematically false, or the codebase is not what the docs describe. |
357|
358|**The audit recommends; the buyer decides.** The audit says "Conditional: the
359|backup system claims 30-day retention but the code enforces 7." The buyer
360|decides whether 7 days is acceptable for their use case. The audit does not
361|say "you should walk."
362|
363|**Keep the two vocabularies separate.** *Clear / Clear with caveats /
364|Conditional / Material / Walk* describes the state of the claims. *Proceed /
365|negotiate / walk* is the buyer's action vocabulary. Conflating them blurs §2
366|— the audit would start opining on what the buyer should do, which is the
367|buyer's judgement. The Gap Map's closing line or the engagement letter may
368|translate to action language ("the gaps are addressable within the existing
369|integration timeline"), framed explicitly as *our professional judgement*
370|rather than as a directive.
371|
372|## 10. Liability posture
373|
374|<!-- audience: practice -->
375|
376|**Category: expert due-diligence, not legal advice.** The distinction is
377|functional, not semantic. Legal advice is "the law requires X, your rights
378|are Y, you should do Z." Expert due-diligence is "here is what I observed,
379|here is the gap between claim and implementation, here is my professional
380|assessment of what that gap means for the value of the asset." The legal and
381|business judgement stays with the client.
382|
383|Same category as a financial auditor reporting material misstatements, a
384|structural engineer certifying an undersized wall, or a pen-test firm
385|reporting an exploitable endpoint.
386|
387|**Independence, and which way the incentive runs.** The buyer engages the
388|auditor, and the buyer benefits from findings: every delta is leverage on
389|price. That is a self-interest threat in the direction of **over-reporting**,
390|and naming it is the first safeguard. The others are already load-bearing
391|elsewhere: §5's citation requirement, which an invented delta cannot satisfy;
392|§6's rule that `[unverifiable]` is never reported as `[delta]`; §4's
393|materiality threshold, applied **regardless of which way a gap pushes the
394|price**; and §12 step 6b, which verifies the finished report against its own
395|citations.
396|
397|A finding that survives all four is not advocacy. A finding that would not
398|have been written for a seller-side client should not be written for a
399|buyer-side one.
400|


--- iter 7 ---
ACTION:
{
  "thought": "The available excerpts cover the method through \u00a717, including the requested rules; I\u2019ll return a consolidated, cited account of the complete current method.",
  "tool": "respond",
  "text": "# AI-Readiness Audit \u2014 current method\n\n**Source and status.** `METHOD.md` is the single durable source for the method. It was drafted 2026-08-22 from Jill\u2019s statements, reviewed and corrected by Jill the same day, and records her verdict vocabulary, recommendation taxonomy, priority order, correction protocol, and run sequence (`METHOD.md:1-11`). Jill has offered a second pass after these changes (`METHOD.md:11`).\n\n## Purpose and assurance\n\nThis is a one-shot technical due-diligence **delta report** for PE firms and micro-acquirers doing sub-$5M deals. Its sole operation is: **stated claims vs. observed implementation, with citations** (`METHOD.md:15-29`). It is claims verification\u2014not a penetration test, full code-quality review, or design review (`METHOD.md:25-29`, `METHOD.md:53-63`, `METHOD.md:436-453`).\n\nThe engagement provides **limited assurance over a disclosed subset of the claim surface**, with a positive conclusion over that subset only (`METHOD.md:30-41`). A recommendation may not be stated without the coverage supporting it; the recommendation and coverage line must travel together in both the report and Gap Map. A verdict without a denominator is not a conclusion (`METHOD.md:43-47`). Never imply that unexamined claims were examined: say, for example, \u201cOf the 43 claims verified, 39 hold,\u201d not \u201cThe system does what it says\u201d (`METHOD.md:48-51`).\n\n## Scope\n\nAudit what the codebase claims to do\u2014claims in documentation, README files, specifications, and marketing\u2014against observed code behaviour. Do not opine on what the code should do; that is the buyer\u2019s design judgement (`METHOD.md:53-63`).\n\nThe method adapts emphasis to the target but does not change. Robotics/codebase audits focus on claims versus implementation, architectural coherence, safety mechanisms, and brief network-exposure and dependency-posture paragraphs. SaaS audits put security, public-facing dependency posture, and marketing claims more centrally (`METHOD.md:65-79`). If an axis is genuinely thin, state that precisely rather than padding the report. The approved wording for the cited example is that there is no surveillance or telemetry exfiltration path, but one user-initiated outbound x.ai TTS API call sends user-typed text off-network; the broader \u201cno data exfiltration path\u201d claim was retracted and must not be reused (`METHOD.md:80-87`).\n\n## Claim-surface closure, coverage honesty, and materiality\n\nFirst enumerate the claims, then prioritise them, then report coverage explicitly, including what was not checked and why it matters (`METHOD.md:89-95`). A five-finding report based on 7% coverage must not say or imply that everything checks out (`METHOD.md:97-106`). Silence about coverage reads as completeness, which a due-diligence report must never imply without earning it.\n\nA gap is material when a reasonable buyer knowing it **would change the price, deal structure, or decision to close**. Materiality is transaction-relative, not absolute (`METHOD.md:108-113`). Report every material gap regardless of whether it pushes price up or down; below-threshold gaps are not findings and belong in the consistency rate; materiality is judged against the buyer\u2019s decision and the stated claims, not the auditor\u2019s taste (`METHOD.md:115-125`).\n\n### Required closure procedure\n\nAt the start of the run, identify the claim surface\u2014README, specifications, marketing, and internal documentation\u2014and then close enumeration with this exact marker and count:\n\ntext\n=== CLAIM SURFACE ===\n<N> claims\n\n\nThe count line must contain only a number followed by `claims`; any subsequent surface list comes afterward (`METHOD.md:461-475`). From that point the surface is **frozen**. It is the denominator for every coverage figure. A claim discovered later that was missed at closure goes in an addendum with its own count, never into the original population (`METHOD.md:483-487`). The marker records both when enumeration ended and what denominator verification committed to (`METHOD.md:489-493`).\n\n## Priority order\n\nWithin material claims, verify in this order (`METHOD.md:127-139`):\n\n1. **Claims whose failure ends the business:** unrecoverable data, uncollectable money, or a dependency that can withdraw; for physical products, safety-critical mechanisms; for SaaS, recoverability, payment integrity, and single points of control.\n2. **Architectural invariants:** whether stated boundaries hold\u2014 isolation, redundancy, failover, tier separation, and shared state.\n3. **Operational parameters:** retry intervals, timeouts, monitoring, retention windows, and thresholds affecting daily operation.\n4. **Micro-claims:** individually low-impact claims that collectively establish the consistency rate and provide the strongest signal about unchecked claims.\n\nThe tiers are consequence-based, not subsystem-based. If a tier is empty for a target, say so in the coverage statement rather than silently using a reduced order (`METHOD.md:141-147`). The reason for this order is that if the audit is cut short, it resolves the buyer\u2019s most expensive unknowns first (`METHOD.md:149-152`).\n\n## Finding format\n\nFor an ordinary claim test:\n\ntext\n**Finding N: <short title> \u2014 [verdict]**\n\nClaim (<source>, e.g. README line 201-202): <the stated claim>\n\nEvidence: <file:lines> \u2014 <what the code actually does>\n\nDelta: <None, or the specific gap>\n\n\nEvery finding must cite both halves: the document making the claim and the file/line range showing implementation. Citations are the professional standard of care and defamation defence, not decoration (`METHOD.md:154-169`). Figures must be quoted verbatim from source, never taken from summaries; numbers, dates, and thresholds require the source line and verbatim quotation (`METHOD.md:171-177`, `METHOD.md:203-206`).\n\nFor an absence, show both searches: lexical search using the claim\u2019s own words and structural inspection of the directory where the feature would live. A search proves diligence, not by itself absence; the search terms must fit the claim (`METHOD.md:179-201`).\n\n### Derived finding format\n\nSome material consequences follow from multiple figures stated separately by the seller and have no single claim source:\n\ntext\n**Finding N: <short title> \u2014 [derived]**\n\nBasis: <file:lines> \u2014 <the first stated figure, verbatim>\n       <file:lines> \u2014 <the second, verbatim>\n\nDerivation: <the arithmetic, written out so a reader can check it>\n\nConsequence: <what follows, and why a buyer cares>\n\nEscalates: <Finding N, or None>\n\n\nDerived findings may use only the target\u2019s own verbatim numbers, dates, or thresholds; the arithmetic must be written out; no recommendation belongs inside the finding; and the finding must identify the ordinary finding it escalates, or say `None` (`METHOD.md:208-253`). If the result is date-based, state the expiry date and what happens then, and include an as-of date for the materials (`METHOD.md:255-261`). Its priority inherits the underlying facts and rises when the combined consequence is more severe (`METHOD.md:263-266`).\n\n## Verdict vocabulary\n\n- `[real]`: claim holds; implementation matches the specification.\n- `[real, minor caveat]`: holds; caveat does not change the decision.\n- `[real, operational caveat]`: holds today, with operational context requiring planning.\n- `[partial]`: mostly true, with a specific citable material gap.\n- `[delta]`: claim is false; code does not do what documentation says.\n- `[unverifiable]`: could not verify from available material; not a finding, goes in Remaining Claims with the reason.\n- `[non-delta]`: code exists but documentation makes no claim; not a finding, noted for completeness.\n- `[derived]`: consequence computed from two or more stated figures, as defined above (`METHOD.md:275-286`).\n\n`[partial]` means a substantially true claim with a known material corner-case; `[delta]` means the claim itself is false. `[unverifiable]` must never be converted into `[delta]` merely because code was not found (`METHOD.md:288-303`). Use the narrowest verdict that fits (`METHOD.md:305-308`).\n\n## Corrections and recaps\n\nIf later evidence contradicts a finding, the auditor corrects it in the report with a one-line explanation of what changed and why (`METHOD.md:310-318`). There is no working/mid-engagement recap because the engagement has no client channel; the deliverable recap is the executive synthesis in the finished report (`METHOD.md:324-345`).\n\n## Recommendation\n\nUse only this taxonomy (`METHOD.md:348-356`):\n\n- **Clear:** no deltas or notable caveats; system does what it says.\n- **Clear with caveats:** no functional deltas, but documentation drift, maintenance debt, or operational notes that do not change fundamental valuation.\n- **Conditional:** deltas are addressable in a sprint or two or concern a non-critical feature; proceed if seller fixes them or buyer accepts them.\n- **Material:** deltas significantly change valuation or risk profile; buyer must explicitly price them in or walk.\n- **Walk:** claims are systematically false or the codebase is not what documentation describes.\n\nThe audit recommends; the buyer decides. Keep recommendation vocabulary separate from buyer action vocabulary such as proceed, negotiate, or walk (`METHOD.md:358-370`).\n\n## Liability posture and exclusions\n\nThis is expert due diligence, not legal advice: report observations, claim/implementation deltas, and professional assessment; legal and business judgement remain with the client (`METHOD.md:372-385`). Independence requires reporting material gaps regardless of which way they move price, while relying on citations, the prohibition on `[unverifiable]` as `[delta]`, the materiality threshold, and final citation verification (`METHOD.md:387-399`).\n\nIt is not a pen-test, code-quality review, design-opinion exercise, legal advice, or acceptance testing of contracted work (`METHOD.md:436-453`).\n\n## Audit run sequence\n\n1. Receive materials and confirm scope in writing.\n2. Enumerate claims and close/freeze the surface with the exact `=== CLAIM SURFACE ===` marker and count.\n3. Prioritise by safety/business-ending \u2192 architecture \u2192 operations \u2192 micro-claims.\n4. Work straight through without pausing for client confirmation.\n5. Continue to the defensible coverage threshold: apply the \u201c7% is not enough\u201d rule in reverse and stop only when the consistency rate and severity distribution of remaining claims make the remainder low-risk (`METHOD.md:455-501`). The method does **not** specify a fixed percentage threshold; defensibility depends on coverage, consistency, and remaining-severity distribution.\n6. Write the report and apply corrections.\n7. Verify every report claim against its own citations; anything that does not resolve to a materials line does not ship. This is a floor, not a guarantee, and catches missing citations rather than necessarily incorrect-but-plausible line references (`METHOD.md:502-507`).\n8. Deliver and propose method-file edits limited to technique. The working record is copied out and the audit world destroyed by the practice/harness, not by the auditor (`METHOD.md:508-518`).\n\nThere is no independent review; step 6b is self-review, and the method acknowledges this as the weakest assurance link to revisit before an engagement where a finding moves real money (`METHOD.md:512-518`).\n\n## Gap Map\n\nThe Gap Map is designed as a one-card, approximately 680px-wide executive artifact. Its scan order is target identity, verdict band, key items, coverage, and full-report link (`METHOD.md:620-628`). The verdict band contains the \u00a79 recommendation, colour-coded, and is the only place the recommendation appears (`METHOD.md:630-633`).\n\nIt contains three to five mixed key items. Items have an icon, one-line claim, and two-line note; citations remain in the report (`METHOD.md:635-637`). For Clear/Clear with caveats, include positive confirmations as well as caveats; for Material/Walk, the balance naturally shifts toward gaps (`METHOD.md:639-645`).\n\nThe coverage line states how many claims were individually verified out of how many identified and why the remainder is or is not low-risk (`METHOD.md:647-650`). The footer includes the report link and the disclaimer \u201ctechnical claims verification \u00b7 not a pen-test, not legal advice\u201d; omit logos, pricing, and \u201cbook a call\u201d (`METHOD.md:653-661`).\n\n## Final deliverable rules\n\nThe final turn contains **exactly two documents and nothing else**, produced together in this order (`METHOD.md:667-677`):\n\n1. **The report**, aimed at 2,000 words or fewer. It must contain:\n   - the recommendation using only \u00a79 vocabulary;\n   - findings worst first, each in the prescribed format and verdict vocabulary, with claim source and implementation source;\n   - an explicit coverage statement identifying what was not checked and why it matters;\n   - what the client should ask the seller before closing;\n   - an inherent-limitations section after this exact marker:\n\n     text\n     === LIMITATIONS ===\n     \n\n     Immediately provide three always-present lines: materials examined and their as-of date; that the seller was **not consulted and has not confirmed the auditor\u2019s reading of their own claims**; and the assurance level plus the coverage supporting it (`METHOD.md:678-699`).\n\n2. **The Gap Map**, after this exact standalone marker:\n\n   text\n   === GAP MAP ===\n   \n\n   The marker separates the two documents and its absence means the engagement has not delivered (`METHOD.md:705-715`).\n\nThe report carries citations; the Gap Map does not. The Gap Map is the 30-second entry point and the report is the evidentiary proof; neither substitutes for the other (`METHOD.md:717-721`)."
}
OBSERVATION:
(respond)

FINAL ANSWER:
# AI-Readiness Audit — current method

**Source and status.** `METHOD.md` is the single durable source for the method. It was drafted 2026-08-22 from Jill’s statements, reviewed and corrected by Jill the same day, and records her verdict vocabulary, recommendation taxonomy, priority order, correction protocol, and run sequence (`METHOD.md:1-11`). Jill has offered a second pass after these changes (`METHOD.md:11`).

## Purpose and assurance

This is a one-shot technical due-diligence **delta report** for PE firms and micro-acquirers doing sub-$5M deals. Its sole operation is: **stated claims vs. observed implementation, with citations** (`METHOD.md:15-29`). It is claims verification—not a penetration test, full code-quality review, or design review (`METHOD.md:25-29`, `METHOD.md:53-63`, `METHOD.md:436-453`).

The engagement provides **limited assurance over a disclosed subset of the claim surface**, with a positive conclusion over that subset only (`METHOD.md:30-41`). A recommendation may not be stated without the coverage supporting it; the recommendation and coverage line must travel together in both the report and Gap Map. A verdict without a denominator is not a conclusion (`METHOD.md:43-47`). Never imply that unexamined claims were examined: say, for example, “Of the 43 claims verified, 39 hold,” not “The system does what it says” (`METHOD.md:48-51`).

## Scope

Audit what the codebase claims to do—claims in documentation, README files, specifications, and marketing—against observed code behaviour. Do not opine on what the code should do; that is the buyer’s design judgement (`METHOD.md:53-63`).

The method adapts emphasis to the target but does not change. Robotics/codebase audits focus on claims versus implementation, architectural coherence, safety mechanisms, and brief network-exposure and dependency-posture paragraphs. SaaS audits put security, public-facing dependency posture, and marketing claims more centrally (`METHOD.md:65-79`). If an axis is genuinely thin, state that precisely rather than padding the report. The approved wording for the cited example is that there is no surveillance or telemetry exfiltration path, but one user-initiated outbound x.ai TTS API call sends user-typed text off-network; the broader “no data exfiltration path” claim was retracted and must not be reused (`METHOD.md:80-87`).

## Claim-surface closure, coverage honesty, and materiality

First enumerate the claims, then prioritise them, then report coverage explicitly, including what was not checked and why it matters (`METHOD.md:89-95`). A five-finding report based on 7% coverage must not say or imply that everything checks out (`METHOD.md:97-106`). Silence about coverage reads as completeness, which a due-diligence report must never imply without earning it.

A gap is material when a reasonable buyer knowing it **would change the price, deal structure, or decision to close**. Materiality is transaction-relative, not absolute (`METHOD.md:108-113`). Report every material gap regardless of whether it pushes price up or down; below-threshold gaps are not findings and belong in the consistency rate; materiality is judged against the buyer’s decision and the stated claims, not the auditor’s taste (`METHOD.md:115-125`).

### Required closure procedure

At the start of the run, identify the claim surface—README, specifications, marketing, and internal documentation—and then close enumeration with this exact marker and count:

text
=== CLAIM SURFACE ===
<N> claims


The count line must contain only a number followed by `claims`; any subsequent surface list comes afterward (`METHOD.md:461-475`). From that point the surface is **frozen**. It is the denominator for every coverage figure. A claim discovered later that was missed at closure goes in an addendum with its own count, never into the original population (`METHOD.md:483-487`). The marker records both when enumeration ended and what denominator verification committed to (`METHOD.md:489-493`).

## Priority order

Within material claims, verify in this order (`METHOD.md:127-139`):

1. **Claims whose failure ends the business:** unrecoverable data, uncollectable money, or a dependency that can withdraw; for physical products, safety-critical mechanisms; for SaaS, recoverability, payment integrity, and single points of control.
2. **Architectural invariants:** whether stated boundaries hold— isolation, redundancy, failover, tier separation, and shared state.
3. **Operational parameters:** retry intervals, timeouts, monitoring, retention windows, and thresholds affecting daily operation.
4. **Micro-claims:** individually low-impact claims that collectively establish the consistency rate and provide the strongest signal about unchecked claims.

The tiers are consequence-based, not subsystem-based. If a tier is empty for a target, say so in the coverage statement rather than silently using a reduced order (`METHOD.md:141-147`). The reason for this order is that if the audit is cut short, it resolves the buyer’s most expensive unknowns first (`METHOD.md:149-152`).

## Finding format

For an ordinary claim test:

text
**Finding N: <short title> — [verdict]**

Claim (<source>, e.g. README line 201-202): <the stated claim>

Evidence: <file:lines> — <what the code actually does>

Delta: <None, or the specific gap>


Every finding must cite both halves: the document making the claim and the file/line range showing implementation. Citations are the professional standard of care and defamation defence, not decoration (`METHOD.md:154-169`). Figures must be quoted verbatim from source, never taken from summaries; numbers, dates, and thresholds require the source line and verbatim quotation (`METHOD.md:171-177`, `METHOD.md:203-206`).

For an absence, show both searches: lexical search using the claim’s own words and structural inspection of the directory where the feature would live. A search proves diligence, not by itself absence; the search terms must fit the claim (`METHOD.md:179-201`).

### Derived finding format

Some material consequences follow from multiple figures stated separately by the seller and have no single claim source:

text
**Finding N: <short title> — [derived]**

Basis: <file:lines> — <the first stated figure, verbatim>
       <file:lines> — <the second, verbatim>

Derivation: <the arithmetic, written out so a reader can check it>

Consequence: <what follows, and why a buyer cares>

Escalates: <Finding N, or None>


Derived findings may use only the target’s own verbatim numbers, dates, or thresholds; the arithmetic must be written out; no recommendation belongs inside the finding; and the finding must identify the ordinary finding it escalates, or say `None` (`METHOD.md:208-253`). If the result is date-based, state the expiry date and what happens then, and include an as-of date for the materials (`METHOD.md:255-261`). Its priority inherits the underlying facts and rises when the combined consequence is more severe (`METHOD.md:263-266`).

## Verdict vocabulary

- `[real]`: claim holds; implementation matches the specification.
- `[real, minor caveat]`: holds; caveat does not change the decision.
- `[real, operational caveat]`: holds today, with operational context requiring planning.
- `[partial]`: mostly true, with a specific citable material gap.
- `[delta]`: claim is false; code does not do what documentation says.
- `[unverifiable]`: could not verify from available material; not a finding, goes in Remaining Claims with the reason.
- `[non-delta]`: code exists but documentation makes no claim; not a finding, noted for completeness.
- `[derived]`: consequence computed from two or more stated figures, as defined above (`METHOD.md:275-286`).

`[partial]` means a substantially true claim with a known material corner-case; `[delta]` means the claim itself is false. `[unverifiable]` must never be converted into `[delta]` merely because code was not found (`METHOD.md:288-303`). Use the narrowest verdict that fits (`METHOD.md:305-308`).

## Corrections and recaps

If later evidence contradicts a finding, the auditor corrects it in the report with a one-line explanation of what changed and why (`METHOD.md:310-318`). There is no working/mid-engagement recap because the engagement has no client channel; the deliverable recap is the executive synthesis in the finished report (`METHOD.md:324-345`).

## Recommendation

Use only this taxonomy (`METHOD.md:348-356`):

- **Clear:** no deltas or notable caveats; system does what it says.
- **Clear with caveats:** no functional deltas, but documentation drift, maintenance debt, or operational notes that do not change fundamental valuation.
- **Conditional:** deltas are addressable in a sprint or two or concern a non-critical feature; proceed if seller fixes them or buyer accepts them.
- **Material:** deltas significantly change valuation or risk profile; buyer must explicitly price them in or walk.
- **Walk:** claims are systematically false or the codebase is not what documentation describes.

The audit recommends; the buyer decides. Keep recommendation vocabulary separate from buyer action vocabulary such as proceed, negotiate, or walk (`METHOD.md:358-370`).

## Liability posture and exclusions

This is expert due diligence, not legal advice: report observations, claim/implementation deltas, and professional assessment; legal and business judgement remain with the client (`METHOD.md:372-385`). Independence requires reporting material gaps regardless of which way they move price, while relying on citations, the prohibition on `[unverifiable]` as `[delta]`, the materiality threshold, and final citation verification (`METHOD.md:387-399`).

It is not a pen-test, code-quality review, design-opinion exercise, legal advice, or acceptance testing of contracted work (`METHOD.md:436-453`).

## Audit run sequence

1. Receive materials and confirm scope in writing.
2. Enumerate claims and close/freeze the surface with the exact `=== CLAIM SURFACE ===` marker and count.
3. Prioritise by safety/business-ending → architecture → operations → micro-claims.
4. Work straight through without pausing for client confirmation.
5. Continue to the defensible coverage threshold: apply the “7% is not enough” rule in reverse and stop only when the consistency rate and severity distribution of remaining claims make the remainder low-risk (`METHOD.md:455-501`). The method does **not** specify a fixed percentage threshold; defensibility depends on coverage, consistency, and remaining-severity distribution.
6. Write the report and apply corrections.
7. Verify every report claim against its own citations; anything that does not resolve to a materials line does not ship. This is a floor, not a guarantee, and catches missing citations rather than necessarily incorrect-but-plausible line references (`METHOD.md:502-507`).
8. Deliver and propose method-file edits limited to technique. The working record is copied out and the audit world destroyed by the practice/harness, not by the auditor (`METHOD.md:508-518`).

There is no independent review; step 6b is self-review, and the method acknowledges this as the weakest assurance link to revisit before an engagement where a finding moves real money (`METHOD.md:512-518`).

## Gap Map

The Gap Map is designed as a one-card, approximately 680px-wide executive artifact. Its scan order is target identity, verdict band, key items, coverage, and full-report link (`METHOD.md:620-628`). The verdict band contains the §9 recommendation, colour-coded, and is the only place the recommendation appears (`METHOD.md:630-633`).

It contains three to five mixed key items. Items have an icon, one-line claim, and two-line note; citations remain in the report (`METHOD.md:635-637`). For Clear/Clear with caveats, include positive confirmations as well as caveats; for Material/Walk, the balance naturally shifts toward gaps (`METHOD.md:639-645`).

The coverage line states how many claims were individually verified out of how many identified and why the remainder is or is not low-risk (`METHOD.md:647-650`). The footer includes the report link and the disclaimer “technical claims verification · not a pen-test, not legal advice”; omit logos, pricing, and “book a call” (`METHOD.md:653-661`).

## Final deliverable rules

The final turn contains **exactly two documents and nothing else**, produced together in this order (`METHOD.md:667-677`):

1. **The report**, aimed at 2,000 words or fewer. It must contain:
   - the recommendation using only §9 vocabulary;
   - findings worst first, each in the prescribed format and verdict vocabulary, with claim source and implementation source;
   - an explicit coverage statement identifying what was not checked and why it matters;
   - what the client should ask the seller before closing;
   - an inherent-limitations section after this exact marker:

     text
     === LIMITATIONS ===
     

     Immediately provide three always-present lines: materials examined and their as-of date; that the seller was **not consulted and has not confirmed the auditor’s reading of their own claims**; and the assurance level plus the coverage supporting it (`METHOD.md:678-699`).

2. **The Gap Map**, after this exact standalone marker:

   text
   === GAP MAP ===
   

   The marker separates the two documents and its absence means the engagement has not delivered (`METHOD.md:705-715`).

The report carries citations; the Gap Map does not. The Gap Map is the 30-second entry point and the report is the evidentiary proof; neither substitutes for the other (`METHOD.md:717-721`).
